K2,K3,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0,0,1.41419,0.707094,0.707094,1.41419,0.707094,1.41419,0.707094,0.353547,1.88558,0.471396
0,0.01,1.52732,0.650527,0.707094,1.52732,0.707094,1.44247,0.707094,0.438399,1.88558,0.527964
0,0.02,1.64046,0.593959,0.707094,1.64046,0.707094,1.47076,0.707094,0.52325,1.88558,0.584531
0,0.03,1.75359,0.537392,0.707094,1.75359,0.707094,1.49904,0.707094,0.608101,1.88558,0.641099
0,0.04,1.86673,0.480824,0.707094,1.86673,0.707094,1.52732,0.707094,0.692952,1.88558,0.697666
0,0.05,1.97986,0.424257,0.707094,1.97986,0.707094,1.55561,0.707094,0.777804,1.88558,0.754234
0.01,0,1.47076,0.678811,0.763662,1.47076,0.763662,1.45661,0.763662,0.395973,1.96101,0.518536
0.01,0.01,1.58389,0.622243,0.763662,1.58389,0.763662,1.4849,0.763662,0.480824,1.96101,0.575103
0.01,0.02,1.69703,0.565675,0.763662,1.69703,0.763662,1.51318,0.763662,0.565675,1.96101,0.631671
0.01,0.03,1.81016,0.509108,0.763662,1.81016,0.763662,1.54147,0.763662,0.650527,1.96101,0.688239
0.01,0.04,1.9233,0.45254,0.763662,1.9233,0.763662,1.56975,0.763662,0.735378,1.96101,0.744806
0.01,0.05,2.03643,0.395973,0.763662,2.03643,0.763662,1.59803,0.763662,0.820229,1.96101,0.801374
0.02,0,1.52732,0.650527,0.820229,1.52732,0.820229,1.49904,0.820229,0.438399,2.03643,0.565675
0.02,0.01,1.64046,0.593959,0.820229,1.64046,0.820229,1.52732,0.820229,0.52325,2.03643,0.622243
0.02,0.02,1.75359,0.537392,0.820229,1.75359,0.820229,1.55561,0.820229,0.608101,2.03643,0.678811
0.02,0.03,1.86673,0.480824,0.820229,1.86673,0.820229,1.58389,0.820229,0.692952,2.03643,0.735378
0.02,0.04,1.97986,0.424257,0.820229,1.97986,0.820229,1.61218,0.820229,0.777804,2.03643,0.791946
0.02,0.05,2.093,0.367689,0.820229,2.093,0.820229,1.64046,0.820229,0.862655,2.03643,0.848513
0.03,0,1.58389,0.622243,0.876797,1.58389,0.876797,1.54147,0.876797,0.480824,2.11186,0.612815
0.03,0.01,1.69703,0.565675,0.876797,1.69703,0.876797,1.56975,0.876797,0.565675,2.11186,0.669383
0.03,0.02,1.81016,0.509108,0.876797,1.81016,0.876797,1.59803,0.876797,0.650527,2.11186,0.72595
0.03,0.03,1.9233,0.45254,0.876797,1.9233,0.876797,1.62632,0.876797,0.735378,2.11186,0.782518
0.03,0.04,2.03643,0.395973,0.876797,2.03643,0.876797,1.6546,0.876797,0.820229,2.11186,0.839085
0.03,0.05,2.14957,0.339405,0.876797,2.14957,0.876797,1.68288,0.876797,0.905081,2.11186,0.895653
0.04,0,1.64046,0.593959,0.933365,1.64046,0.933365,1.58389,0.933365,0.52325,2.18728,0.659955
0.04,0.01,1.75359,0.537392,0.933365,1.75359,0.933365,1.61218,0.933365,0.608101,2.18728,0.716522
0.04,0.02,1.86673,0.480824,0.933365,1.86673,0.933365,1.64046,0.933365,0.692952,2.18728,0.77309
0.04,0.03,1.97986,0.424257,0.933365,1.97986,0.933365,1.66874,0.933365,0.777804,2.18728,0.829657
0.04,0.04,2.093,0.367689,0.933365,2.093,0.933365,1.69703,0.933365,0.862655,2.18728,0.886225
0.04,0.05,2.20613,0.311122,0.933365,2.20613,0.933365,1.72531,0.933365,0.947506,2.18728,0.942792
0.05,0,1.69703,0.565675,0.989932,1.69703,0.989932,1.62632,0.989932,0.565675,2.2627,0.707094
0.05,0.01,1.81016,0.509108,0.989932,1.81016,0.989932,1.6546,0.989932,0.650527,2.2627,0.763662
0.05,0.02,1.9233,0.45254,0.989932,1.9233,0.989932,1.68288,0.989932,0.735378,2.2627,0.820229
0.05,0.03,2.03643,0.395973,0.989932,2.03643,0.989932,1.71117,0.989932,0.820229,2.2627,0.876797
0.05,0.04,2.14957,0.339405,0.989932,2.14957,0.989932,1.73945,0.989932,0.905081,2.2627,0.933365
0.05,0.05,2.2627,0.282838,0.989932,2.2627,0.989932,1.76774,0.989932,0.989932,2.2627,0.989932
0.06,0,1.75359,0.537392,1.0465,1.75359,1.0465,1.66874,1.0465,0.608101,2.33813,0.754234
0.06,0.01,1.86673,0.480824,1.0465,1.86673,1.0465,1.69703,1.0465,0.692952,2.33813,0.810802
0.06,0.02,1.97986,0.424257,1.0465,1.97986,1.0465,1.72531,1.0465,0.777804,2.33813,0.867369
0.06,0.03,2.093,0.367689,1.0465,2.093,1.0465,1.75359,1.0465,0.862655,2.33813,0.923937
0.06,0.04,2.20613,0.311122,1.0465,2.20613,1.0465,1.78188,1.0465,0.947506,2.33813,0.980504
0.06,0.05,2.31927,0.254554,1.0465,2.31927,1.0465,1.81016,1.0465,1.03236,2.33813,1.03707
0.07,0,1.81016,0.509108,1.10307,1.81016,1.10307,1.71117,1.10307,0.650527,2.41355,0.801374
0.07,0.01,1.9233,0.45254,1.10307,1.9233,1.10307,1.73945,1.10307,0.735378,2.41355,0.857941
0.07,0.02,2.03643,0.395973,1.10307,2.03643,1.10307,1.76774,1.10307,0.820229,2.41355,0.914509
0.07,0.03,2.14957,0.339405,1.10307,2.14957,1.10307,1.79602,1.10307,0.905081,2.41355,0.971076
