K2,K3,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0,0,1.41419,0.707094,0.707094,1.41419,0.707094,1.41419,0.707094,0.353547,1.88558,0.471396
0,0.1,2.54554,0.141419,0.707094,2.54554,0.707094,1.69703,0.707094,1.20206,1.88558,1.03707
0,0.2,3.67689,-0.424257,0.707094,3.67689,0.707094,1.97986,0.707094,2.05057,1.88558,1.60275
0,0.3,4.80824,-0.989932,0.707094,4.80824,0.707094,2.2627,0.707094,2.89909,1.88558,2.16842
0,0.4,5.93959,-1.55561,0.707094,5.93959,0.707094,2.54554,0.707094,3.7476,1.88558,2.7341
0,0.5,7.07094,-2.12128,0.707094,7.07094,0.707094,2.82838,0.707094,4.59611,1.88558,3.29977
0.1,0,1.97986,0.424257,1.27277,1.97986,1.27277,1.83845,1.27277,0.777804,2.63982,0.942792
0.1,0.1,3.11122,-0.141419,1.27277,3.11122,1.27277,2.12128,1.27277,1.62632,2.63982,1.50847
0.1,0.2,4.24257,-0.707094,1.27277,4.24257,1.27277,2.40412,1.27277,2.47483,2.63982,2.07414
0.1,0.3,5.37392,-1.27277,1.27277,5.37392,1.27277,2.68696,1.27277,3.32334,2.63982,2.63982
0.1,0.4,6.50527,-1.83845,1.27277,6.50527,1.27277,2.9698,1.27277,4.17186,2.63982,3.20549
0.1,0.5,7.63662,-2.40412,1.27277,7.63662,1.27277,3.25263,1.27277,5.02037,2.63982,3.77117
0.2,0,2.54554,0.141419,1.83845,2.54554,1.83845,2.2627,1.83845,1.20206,3.39405,1.41419
0.2,0.1,3.67689,-0.424257,1.83845,3.67689,1.83845,2.54554,1.83845,2.05057,3.39405,1.97986
0.2,0.2,4.80824,-0.989932,1.83845,4.80824,1.83845,2.82838,1.83845,2.89909,3.39405,2.54554
0.2,0.3,5.93959,-1.55561,1.83845,5.93959,1.83845,3.11122,1.83845,3.7476,3.39405,3.11122
0.2,0.4,7.07094,-2.12128,1.83845,7.07094,1.83845,3.39405,1.83845,4.59611,3.39405,3.67689
0.2,0.5,8.20229,-2.68696,1.83845,8.20229,1.83845,3.67689,1.83845,5.44463,3.39405,4.24257
0.3,0,3.11122,-0.141419,2.40412,3.11122,2.40412,2.68696,2.40412,1.62632,4.14829,1.88558
0.3,0.1,4.24257,-0.707094,2.40412,4.24257,2.40412,2.9698,2.40412,2.47483,4.14829,2.45126
0.3,0.2,5.37392,-1.27277,2.40412,5.37392,2.40412,3.25263,2.40412,3.32334,4.14829,3.01694
0.3,0.3,6.50527,-1.83845,2.40412,6.50527,2.40412,3.53547,2.40412,4.17186,4.14829,3.58261
0.3,0.4,7.63662,-2.40412,2.40412,7.63662,2.40412,3.81831,2.40412,5.02037,4.14829,4.14829
0.3,0.5,8.76797,-2.9698,2.40412,8.76797,2.40412,4.10115,2.40412,5.86888,4.14829,4.71396
0.4,0,3.67689,-0.424257,2.9698,3.67689,2.9698,3.11122,2.9698,2.05057,4.90252,2.35698
0.4,0.1,4.80824,-0.989932,2.9698,4.80824,2.9698,3.39405,2.9698,2.89909,4.90252,2.92266
0.4,0.2,5.93959,-1.55561,2.9698,5.93959,2.9698,3.67689,2.9698,3.7476,4.90252,3.48833
0.4,0.3,7.07094,-2.12128,2.9698,7.07094,2.9698,3.95973,2.9698,4.59611,4.90252,4.05401
0.4,0.4,8.20229,-2.68696,2.9698,8.20229,2.9698,4.24257,2.9698,5.44463,4.90252,4.61968
0.4,0.5,9.33365,-3.25263,2.9698,9.33365,2.9698,4.5254,2.9698,6.29314,4.90252,5.18536
0.5,0,4.24257,-0.707094,3.53547,4.24257,3.53547,3.53547,3.53547,2.47483,5.65675,2.82838
0.5,0.1,5.37392,-1.27277,3.53547,5.37392,3.53547,3.81831,3.53547,3.32334,5.65675,3.39405
0.5,0.2,6.50527,-1.83845,3.53547,6.50527,3.53547,4.10115,3.53547,4.17186,5.65675,3.95973
0.5,0.3,7.63662,-2.40412,3.53547,7.63662,3.53547,4.38399,3.53547,5.02037,5.65675,4.5254
0.5,0.4,8.76797,-2.9698,3.53547,8.76797,3.53547,4.66682,3.53547,5.86888,5.65675,5.09108
0.5,0.5,9.89932,-3.53547,3.53547,9.89932,3.53547,4.94966,3.53547,6.7174,5.65675,5.65675
