K2,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0,0,1.41419,0.707094,0.707094,100,1,0,0,0.707094,0.707094,1.41419,0,0,1,n
0,0,1.41419,0.707094,0.707094,110,0.707107,0.707107,0,0.353548,0.707094,1.76774,0,0,1,n
0,0,1.41419,0.707094,0.707094,111,0.57735,0.57735,0.57735,0.471397,0.471397,1.88558,5.55112e-17,5.55112e-17,1,n
0,0.1,2.54554,0.141419,0.707094,100,1,0,0,0.707094,0.707094,2.54554,0,0,1,n
0,0.1,2.54554,0.141419,0.707094,110,0.707107,0.707107,0,0.707094,1.20206,2.05057,0,0,1,n
0,0.1,2.54554,0.141419,0.707094,111,0.57735,0.57735,0.57735,1.03707,1.03707,1.88558,5.55112e-17,5.55112e-17,1,n
0,0.2,3.67689,-0.424257,0.707094,100,1,0,0,0.707094,0.707094,3.67689,0,0,1,n
0,0.2,3.67689,-0.424257,0.707094,110,0.707107,0.707107,0,0.707094,2.05057,2.33341,0,0,1,n
0,0.2,3.67689,-0.424257,0.707094,111,0.57735,0.57735,0.57735,1.60275,1.60275,1.88558,-2.498e-16,-5.55112e-17,1,n
0,0.3,4.80824,-0.989932,0.707094,100,1,0,0,0.707094,0.707094,4.80824,0,0,1,n
0,0.3,4.80824,-0.989932,0.707094,110,0.707107,0.707107,0,0.707094,2.61625,2.89909,0,-1,0,m
0,0.3,4.80824,-0.989932,0.707094,111,0.57735,0.57735,0.57735,1.88558,2.16842,2.16842,1,1.55431e-15,1.22125e-15,y
0,0.4,5.93959,-1.55561,0.707094,100,1,0,0,0.707094,0.707094,5.93959,0,0,1,n
0,0.4,5.93959,-1.55561,0.707094,110,0.707107,0.707107,0,0.707094,2.89908,3.7476,0,-1,0,m
0,0.4,5.93959,-1.55561,0.707094,111,0.57735,0.57735,0.57735,1.88558,2.7341,2.7341,-1,-1.11022e-16,-5.55112e-17,y
0,0.5,7.07094,-2.12128,0.707094,100,1,0,0,0.707094,0.707094,7.07094,0,0,1,n
0,0.5,7.07094,-2.12128,0.707094,110,0.707107,0.707107,0,0.707094,3.18192,4.59611,0,-1,0,m
0,0.5,7.07094,-2.12128,0.707094,111,0.57735,0.57735,0.57735,1.88559,3.29977,3.29977,1,-2.77556e-17,5.55112e-17,y
0.1,0,1.97986,0.424257,1.27277,100,1,0,0,1.27277,1.27277,1.97986,0,0,1,n
0.1,0,1.97986,0.424257,1.27277,110,0.707107,0.707107,0,0.777801,1.27277,2.47483,0,0,1,n
0.1,0,1.97986,0.424257,1.27277,111,0.57735,0.57735,0.57735,0.942791,0.942791,2.63982,1.249e-16,1.11022e-16,1,n
0.1,0.1,3.11122,-0.141419,1.27277,100,1,0,0,1.27277,1.27277,3.11122,0,0,1,n
0.1,0.1,3.11122,-0.141419,1.27277,110,0.707107,0.707107,0,1.27277,1.62632,2.75767,0,0,1,n
0.1,0.1,3.11122,-0.141419,1.27277,111,0.57735,0.57735,0.57735,1.50847,1.50847,2.63982,-5.55112e-17,-2.77556e-17,1,n
0.1,0.2,4.24257,-0.707094,1.27277,100,1,0,0,1.27277,1.27277,4.24257,0,0,1,n
0.1,0.2,4.24257,-0.707094,1.27277,110,0.707107,0.707107,0,1.27277,2.47483,3.04051,0,0,1,n
0.1,0.2,4.24257,-0.707094,1.27277,111,0.57735,0.57735,0.57735,2.07414,2.07414,2.63982,1.07553e-16,7.77156e-16,1,n
0.1,0.3,5.37392,-1.27277,1.27277,100,1,0,0,1.27277,1.27277,5.37392,0,0,1,n
0.1,0.3,5.37392,-1.27277,1.27277,110,0.707107,0.707107,0,1.27277,3.32334,3.32334,0,0.707107,0.707107,m
0.1,0.3,5.37392,-1.27277,1.27277,111,0.57735,0.57735,0.57735,2.63982,2.63982,2.63982,0.57735,0.57735,0.57735,=
0.1,0.4,6.50527,-1.83845,1.27277,100,1,0,0,1.27277,1.27277,6.50527,0,0,1,n
0.1,0.4,6.50527,-1.83845,1.27277,110,0.707107,0.707107,0,1.27277,3.60618,4.17186,0,-1,0,m
0.1,0.4,6.50527,-1.83845,1.27277,111,0.57735,0.57735,0.57735,2.63982,3.2055,3.2055,1,5.82867e-16,5.55112e-17,y
0.1,0.5,7.63662,-2.40412,1.27277,100,1,0,0,1.27277,1.27277,7.63662,0,0,1,n
0.1,0.5,7.63662,-2.40412,1.27277,110,0.707107,0.707107,0,1.27277,3.88902,5.02037,0,-1,0,m
0.1,0.5,7.63662,-2.40412,1.27277,111,0.57735,0.57735,0.57735,2.63982,3.77117,3.77117,1,5.55112e-17,-4.16334e-16,y
0.2,0,2.54554,0.141419,1.83845,100,1,0,0,1.83845,1.83845,2.54554,0,0,1,n
0.2,0,2.54554,0.141419,1.83845,110,0.707107,0.707107,0,1.20206,1.83845,3.18193,0,0,1,n
0.2,0,2.54554,0.141419,1.83845,111,0.57735,0.57735,0.57735,1.41419,1.41419,3.39406,1.66533e-16,5.55112e-17,1,n
0.2,0.1,3.67689,-0.424257,1.83845,100,1,0,0,1.83845,1.83845,3.67689,0,0,1,n
0.2,0.1,3.67689,-0.424257,1.83845,110,0.707107,0.707107,0,1.83845,2.05057,3.46477,0,0,1,n
0.2,0.1,3.67689,-0.424257,1.83845,111,0.57735,0.57735,0.57735,1.97987,1.97987,3.39406,2.22045e-16,5.55112e-17,1,n
0.2,0.2,4.80824,-0.989932,1.83845,100,1,0,0,1.83845,1.83845,4.80824,0,0,1,n
0.2,0.2,4.80824,-0.989932,1.83845,110,0.707107,0.707107,0,1.83845,2.89909,3.7476,0,0,1,n
0.2,0.2,4.80824,-0.989932,1.83845,111,0.57735,0.57735,0.57735,2.54554,2.54554,3.39406,5.55112e-17,2.77556e-17,1,n
0.2,0.3,5.93959,-1.55561,1.83845,100,1,0,0,1.83845,1.83845,5.93959,0,0,1,n
