LAMMPS data file for SC lattice

125 atoms
19125 angles

1 atom types
6 angle types

0.0 5 xlo xhi
0.0 5 ylo yhi
0.0 5 zlo zhi

Masses

1 1.0

Atoms

1 1 1 0 0 0
2 1 1 0 0 1
3 1 1 0 0 2
4 1 1 0 0 3
5 1 1 0 0 4
6 1 1 0 1 0
7 1 1 0 1 1
8 1 1 0 1 2
9 1 1 0 1 3
10 1 1 0 1 4
11 1 1 0 2 0
12 1 1 0 2 1
13 1 1 0 2 2
14 1 1 0 2 3
15 1 1 0 2 4
16 1 1 0 3 0
17 1 1 0 3 1
18 1 1 0 3 2
19 1 1 0 3 3
20 1 1 0 3 4
21 1 1 0 4 0
22 1 1 0 4 1
23 1 1 0 4 2
24 1 1 0 4 3
25 1 1 0 4 4
26 1 1 1 0 0
27 1 1 1 0 1
28 1 1 1 0 2
29 1 1 1 0 3
30 1 1 1 0 4
31 1 1 1 1 0
32 1 1 1 1 1
33 1 1 1 1 2
34 1 1 1 1 3
35 1 1 1 1 4
36 1 1 1 2 0
37 1 1 1 2 1
38 1 1 1 2 2
39 1 1 1 2 3
40 1 1 1 2 4
41 1 1 1 3 0
42 1 1 1 3 1
43 1 1 1 3 2
44 1 1 1 3 3
45 1 1 1 3 4
46 1 1 1 4 0
47 1 1 1 4 1
48 1 1 1 4 2
49 1 1 1 4 3
50 1 1 1 4 4
51 1 1 2 0 0
52 1 1 2 0 1
53 1 1 2 0 2
54 1 1 2 0 3
55 1 1 2 0 4
56 1 1 2 1 0
57 1 1 2 1 1
58 1 1 2 1 2
59 1 1 2 1 3
60 1 1 2 1 4
61 1 1 2 2 0
62 1 1 2 2 1
63 1 1 2 2 2
64 1 1 2 2 3
65 1 1 2 2 4
66 1 1 2 3 0
67 1 1 2 3 1
68 1 1 2 3 2
69 1 1 2 3 3
70 1 1 2 3 4
71 1 1 2 4 0
72 1 1 2 4 1
73 1 1 2 4 2
74 1 1 2 4 3
75 1 1 2 4 4
76 1 1 3 0 0
77 1 1 3 0 1
78 1 1 3 0 2
79 1 1 3 0 3
80 1 1 3 0 4
81 1 1 3 1 0
82 1 1 3 1 1
83 1 1 3 1 2
84 1 1 3 1 3
85 1 1 3 1 4
86 1 1 3 2 0
87 1 1 3 2 1
88 1 1 3 2 2
89 1 1 3 2 3
