K1,K3,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0,0,0.999982,-4.53758e-11,8.55484e-12,0.999982,8.55484e-12,0.499991,8.55484e-12,0.499991,0.333327,0.333327
0,0.05,1.39998,-0.199996,0.599989,1.39998,0.599989,0.899984,0.599989,0.799986,1.13331,0.73332
0,0.1,1.79997,-0.399993,1.19998,1.79997,1.19998,1.29998,1.19998,1.09998,1.9333,1.13331
0,0.15,2.19996,-0.599989,1.79997,2.19996,1.79997,1.69997,1.79997,1.39998,2.73329,1.53331
0,0.2,2.59995,-0.799986,2.39996,2.59995,2.39996,2.09996,2.39996,1.69997,3.53327,1.9333
0,0.25,2.99995,-0.999982,2.99995,2.99995,2.99995,2.49996,2.99995,1.99996,4.33326,2.33329
0,0.3,3.39994,-1.19998,3.59994,3.39994,3.59994,2.89995,3.59994,2.29996,5.13324,2.73329
0,0.35,3.79993,-1.39998,4.19993,3.79993,4.19993,3.29994,4.19993,2.59995,5.93323,3.13328
0,0.4,4.19993,-1.59997,4.79992,4.19993,4.79992,3.69994,4.79992,2.89995,6.73322,3.53327
0,0.45,4.59992,-1.79997,5.39991,4.59992,5.39991,4.09993,5.39991,3.19994,7.5332,3.93326
0,0.5,4.99991,-1.99996,5.99989,4.99991,5.99989,4.49992,5.99989,3.49994,8.33319,4.33326
0,0.55,5.39991,-2.19996,6.59988,5.39991,6.59988,4.89991,6.59988,3.79993,9.13317,4.73325
0,0.6,5.7999,-2.39996,7.19987,5.7999,7.19987,5.29991,7.19987,4.09993,9.93316,5.13324
0,0.65,6.19989,-2.59995,7.79986,6.19989,7.79986,5.6999,7.79986,4.39992,10.7331,5.53324
0,0.7,6.59988,-2.79995,8.39985,6.59988,8.39985,6.09989,8.39985,4.69992,11.5331,5.93323
0.05,0,1.19998,-0.0999982,0.0999982,1.19998,0.0999982,0.599989,0.0999982,0.649989,0.466658,0.466658
0.05,0.05,1.59997,-0.299995,0.699988,1.59997,0.699988,0.999982,0.699988,0.949983,1.26664,0.866651
0.05,0.1,1.99996,-0.499991,1.29998,1.99996,1.29998,1.39998,1.29998,1.24998,2.06663,1.26664
0.05,0.15,2.39996,-0.699988,1.89997,2.39996,1.89997,1.79997,1.89997,1.54997,2.86662,1.66664
0.05,0.2,2.79995,-0.899984,2.49996,2.79995,2.49996,2.19996,2.49996,1.84997,3.6666,2.06663
0.05,0.25,3.19994,-1.09998,3.09995,3.19994,3.09995,2.59995,3.09995,2.14996,4.46659,2.46662
0.05,0.3,3.59994,-1.29998,3.69994,3.59994,3.69994,2.99995,3.69994,2.44996,5.26657,2.86662
0.05,0.35,3.99993,-1.49997,4.29992,3.99993,4.29992,3.39994,4.29992,2.74995,6.06656,3.26661
