K1,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0,0,0.999982,-4.53758e-11,8.55484e-12,100,1,0,0,8.55484e-12,8.55484e-12,0.999982,0,0,1,n
0,0,0.999982,-4.53758e-11,8.55484e-12,110,0.707107,0.707107,0,8.55484e-12,0.499991,0.499991,0,-1,0,m
0,0,0.999982,-4.53758e-11,8.55484e-12,111,0.57735,0.57735,0.57735,0.333327,0.333327,0.333327,-1,4.86426e-06,2.09689e-07,=
0,0.05,1.39998,-0.199996,0.599989,100,1,0,0,0.599989,0.599989,1.39998,0,0,1,n
0,0.05,1.39998,-0.199996,0.599989,110,0.707107,0.707107,0,0.599989,0.799988,1.19998,0,0,1,n
0,0.05,1.39998,-0.199996,0.599989,111,0.57735,0.57735,0.57735,0.733322,0.733322,1.13331,5.55112e-17,-5.55112e-17,1,n
0,0.1,1.79997,-0.399993,1.19998,100,1,0,0,1.19998,1.19998,1.79997,0,0,1,n
0,0.1,1.79997,-0.399993,1.19998,110,0.707107,0.707107,0,1.09998,1.19998,1.89997,0,0,1,n
0,0.1,1.79997,-0.399993,1.19998,111,0.57735,0.57735,0.57735,1.13331,1.13331,1.9333,5.55112e-17,-5.55112e-17,1,n
0,0.15,2.19996,-0.599989,1.79997,100,1,0,0,1.79997,1.79997,2.19996,0,0,1,n
0,0.15,2.19996,-0.599989,1.79997,110,0.707107,0.707107,0,1.39997,1.79997,2.59996,0,0,1,n
0,0.15,2.19996,-0.599989,1.79997,111,0.57735,0.57735,0.57735,1.53331,1.53331,2.73329,-1.38778e-17,1.66533e-16,1,n
0,0.2,2.59995,-0.799986,2.39996,100,1,0,0,2.39996,2.39996,2.59995,0,0,1,n
0,0.2,2.59995,-0.799986,2.39996,110,0.707107,0.707107,0,1.69997,2.39996,3.29994,0,0,1,n
0,0.2,2.59995,-0.799986,2.39996,111,0.57735,0.57735,0.57735,1.9333,1.9333,3.53327,-6.10623e-16,0,1,n
0,0.25,2.99995,-0.999982,2.99995,100,1,0,0,2.99995,2.99995,2.99995,1,0,0,=
0,0.25,2.99995,-0.999982,2.99995,110,0.707107,0.707107,0,1.99997,2.99995,3.99993,0,0,1,n
0,0.25,2.99995,-0.999982,2.99995,111,0.57735,0.57735,0.57735,2.33329,2.33329,4.33326,1.80411e-16,1.11022e-16,1,n
0,0.3,3.39994,-1.19998,3.59994,100,1,0,0,3.39994,3.59994,3.59994,1,0,0,y
