K1,K3,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0,0,0.999982,-4.53758e-11,8.55484e-12,0.999982,8.55484e-12,0.499991,8.55484e-12,0.499991,0.333327,0.333327
0,0.05,1.39998,-0.199996,0.599989,1.39998,0.599989,0.899984,0.599989,0.799986,1.13331,0.73332
0,0.1,1.79997,-0.399993,1.19998,1.79997,1.19998,1.29998,1.19998,1.09998,1.9333,1.13331
0,0.15,2.19996,-0.599989,1.79997,2.19996,1.79997,1.69997,1.79997,1.39998,2.73329,1.53331
0,0.2,2.59995,-0.799986,2.39996,2.59995,2.39996,2.09996,2.39996,1.69997,3.53327,1.9333
0,0.25,2.99995,-0.999982,2.99995,2.99995,2.99995,2.49996,2.99995,1.99996,4.33326,2.33329
0.05,0,1.19998,-0.0999982,0.0999982,1.19998,0.0999982,0.599989,0.0999982,0.649989,0.466658,0.466658
0.05,0.05,1.59997,-0.299995,0.699988,1.59997,0.699988,0.999982,0.699988,0.949983,1.26664,0.866651
0.05,0.1,1.99996,-0.499991,1.29998,1.99996,1.29998,1.39998,1.29998,1.24998,2.06663,1.26664
0.05,0.15,2.39996,-0.699988,1.89997,2.39996,1.89997,1.79997,1.89997,1.54997,2.86662,1.66664
0.05,0.2,2.79995,-0.899984,2.49996,2.79995,2.49996,2.19996,2.49996,1.84997,3.6666,2.06663
0.05,0.25,3.19994,-1.09998,3.09995,3.19994,3.09995,2.59995,3.09995,2.14996,4.46659,2.46662
0.1,0,1.39998,-0.199996,0.199996,1.39998,0.199996,0.699988,0.199996,0.799986,0.599989,0.599989
0.1,0.05,1.79997,-0.399993,0.799986,1.79997,0.799986,1.09998,0.799986,1.09998,1.39998,0.999982
0.1,0.1,2.19996,-0.599989,1.39998,2.19996,1.39998,1.49997,1.39998,1.39998,2.19996,1.39998
0.1,0.15,2.59995,-0.799986,1.99996,2.59995,1.99996,1.89997,1.99996,1.69997,2.99995,1.79997
0.1,0.2,2.99995,-0.999982,2.59995,2.99995,2.59995,2.29996,2.59995,1.99996,3.79993,2.19996
0.1,0.25,3.39994,-1.19998,3.19994,3.39994,3.19994,2.69995,3.19994,2.29996,4.59992,2.59995
0.15,0,1.59997,-0.299995,0.299995,1.59997,0.299995,0.799986,0.299995,0.949983,0.73332,0.73332
0.15,0.05,1.99996,-0.499991,0.899984,1.99996,0.899984,1.19998,0.899984,1.24998,1.53331,1.13331
0.15,0.1,2.39996,-0.699988,1.49997,2.39996,1.49997,1.59997,1.49997,1.54997,2.33329,1.53331
0.15,0.15,2.79995,-0.899984,2.09996,2.79995,2.09996,1.99996,2.09996,1.84997,3.13328,1.9333
0.15,0.2,3.19994,-1.09998,2.69995,3.19994,2.69995,2.39996,2.69995,2.14996,3.93326,2.33329
