K1,K5,C11,C12,C44,q_x,q_y,q_z,Rho*v1^2,Rho*v2^2,Rho*v3^2,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0,0,0.999982,-4.53758e-11,8.55484e-12,0,0,1,8.55484e-12,8.55484e-12,0.999982,0,0,1,n
0,0.05,1.19998,-0.0999982,0.0999982,0,0,1,0.0999982,0.0999982,1.19998,0,0,1,n
0,0.1,1.39998,-0.199996,0.199996,0,0,1,0.199996,0.199996,1.39998,0,0,1,n
0,0.15,1.59997,-0.299995,0.299995,0,0,1,0.299995,0.299995,1.59997,0,0,1,n
0,0.2,1.79997,-0.399993,0.399993,0,0,1,0.399993,0.399993,1.79997,0,0,1,n
0,0.25,1.99996,-0.499991,0.499991,0,0,1,0.499991,0.499991,1.99996,0,0,1,n
0,0.3,2.19996,-0.599989,0.599989,0,0,1,0.599989,0.599989,2.19996,0,0,1,n
0,0.35,2.39996,-0.699988,0.699988,0,0,1,0.699988,0.699988,2.39996,0,0,1,n
0,0.4,2.59995,-0.799986,0.799986,0,0,1,0.799986,0.799986,2.59995,0,0,1,n
0,0.45,2.79995,-0.899984,0.899984,0,0,1,0.899984,0.899984,2.79995,0,0,1,n
0,0.5,2.99995,-0.999982,0.999982,0,0,1,0.999982,0.999982,2.99995,0,0,1,n
0,0.55,3.19994,-1.09998,1.09998,0,0,1,1.09998,1.09998,3.19994,0,0,1,n
0,0.6,3.39994,-1.19998,1.19998,0,0,1,1.19998,1.19998,3.39994,0,0,1,n
0,0.65,3.59994,-1.29998,1.29998,0,0,1,1.29998,1.29998,3.59994,0,0,1,n
0,0.7,3.79993,-1.39998,1.39998,0,0,1,1.39998,1.39998,3.79993,0,0,1,n
0.05,0,1.19998,-0.0999982,0.0999982,0,0,1,0.0999982,0.0999982,1.19998,0,0,1,n
0.05,0.05,1.39998,-0.199996,0.199996,0,0,1,0.199996,0.199996,1.39998,0,0,1,n
0.05,0.1,1.59997,-0.299995,0.299995,0,0,1,0.299995,0.299995,1.59997,0,0,1,n
0.05,0.15,1.79997,-0.399993,0.399993,0,0,1,0.399993,0.399993,1.79997,0,0,1,n
0.05,0.2,1.99996,-0.499991,0.499991,0,0,1,0.499991,0.499991,1.99996,0,0,1,n
0.05,0.25,2.19996,-0.599989,0.599989,0,0,1,0.599989,0.599989,2.19996,0,0,1,n
0.05,0.3,2.39996,-0.699988,0.699988,0,0,1,0.699988,0.699988,2.39996,0,0,1,n
